graph_id,src,dst
0,0,1
0,0,14
0,1,0
0,1,2
0,2,1
0,2,3
0,3,2
0,3,4
0,4,3
0,4,5
0,5,4
0,5,6
0,6,5
0,6,7
0,7,6
0,7,8
0,8,7
0,8,9
0,9,8
0,9,10
0,10,9
0,10,11
0,11,10
0,11,12
0,12,11
0,12,13
0,13,12
0,13,14
0,14,0
0,14,13
0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10
0,11,11
0,12,12
0,13,13
0,14,14
1,0,1
1,0,9
1,1,0
1,1,2
1,2,1
1,2,3
1,3,2
1,3,4
1,4,3
1,4,5
1,5,4
1,5,6
1,6,5
1,6,7
1,7,6
1,7,8
1,8,7
1,8,9
1,9,0
1,9,8
1,0,0
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
2,0,1
2,0,12
2,1,0
2,1,2
2,2,1
2,2,3
2,3,2
2,3,4
2,4,3
2,4,5
2,5,4
2,5,6
2,6,5
2,6,7
2,7,6
2,7,8
2,8,7
2,8,9
2,9,8
2,9,10
2,10,9
2,10,11
2,11,10
2,11,12
2,12,0
2,12,11
2,0,0
2,1,1
2,2,2
2,3,3
2,4,4
2,5,5
2,6,6
2,7,7
2,8,8
2,9,9
2,10,10
2,11,11
2,12,12
3,0,1
3,0,12
3,1,0
3,1,2
3,2,1
3,2,3
3,3,2
3,3,4
3,4,3
3,4,5
3,5,4
3,5,6
3,6,5
3,6,7
3,7,6
3,7,8
3,8,7
3,8,9
3,9,8
3,9,10
3,10,9
3,10,11
3,11,10
3,11,12
3,12,0
3,12,11
3,0,0
3,1,1
3,2,2
3,3,3
3,4,4
3,5,5
3,6,6
3,7,7
3,8,8
3,9,9
3,10,10
3,11,11
3,12,12
4,0,1
4,0,16
4,1,0
4,1,2
4,2,1
4,2,3
4,3,2
4,3,4
4,4,3
4,4,5
4,5,4
4,5,6
4,6,5
4,6,7
4,7,6
4,7,8
4,8,7
4,8,9
4,9,8
4,9,10
4,10,9
4,10,11
4,11,10
4,11,12
4,12,11
4,12,13
4,13,12
4,13,14
4,14,13
4,14,15
4,15,14
4,15,16
4,16,0
4,16,15
4,0,0
4,1,1
4,2,2
4,3,3
4,4,4
4,5,5
4,6,6
4,7,7
4,8,8
4,9,9
4,10,10
4,11,11
4,12,12
4,13,13
4,14,14
4,15,15
4,16,16
5,0,1
5,0,2
5,0,3
5,0,4
5,0,5
5,0,6
5,0,7
5,0,8
5,0,9
5,0,10
5,0,11
5,0,12
5,0,13
5,0,14
5,0,15
5,0,16
5,0,17
5,0,18
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,0,0
5,1,1
5,2,2
5,3,3
5,4,4
5,5,5
5,6,6
5,7,7
5,8,8
5,9,9
5,10,10
5,11,11
5,12,12
5,13,13
5,14,14
5,15,15
5,16,16
5,17,17
5,18,18
6,0,1
6,0,2
6,0,3
6,0,4
6,0,5
6,0,6
6,0,7
6,0,8
6,0,9
6,0,10
6,0,11
6,0,12
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,0,0
6,1,1
6,2,2
6,3,3
6,4,4
6,5,5
6,6,6
6,7,7
6,8,8
6,9,9
6,10,10
6,11,11
6,12,12
7,0,1
7,0,2
7,0,3
7,0,4
7,0,5
7,0,6
7,0,7
7,0,8
7,0,9
7,0,10
7,0,11
7,0,12
7,0,13
7,0,14
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,0,0
7,1,1
7,2,2
7,3,3
7,4,4
7,5,5
7,6,6
7,7,7
7,8,8
7,9,9
7,10,10
7,11,11
7,12,12
7,13,13
7,14,14
8,0,1
8,0,2
8,0,3
8,0,4
8,0,5
8,0,6
8,0,7
8,0,8
8,0,9
8,0,10
8,0,11
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,0,0
8,1,1
8,2,2
8,3,3
8,4,4
8,5,5
8,6,6
8,7,7
8,8,8
8,9,9
8,10,10
8,11,11
9,0,1
9,0,2
9,0,3
9,0,4
9,0,5
9,0,6
9,0,7
9,0,8
9,0,9
9,0,10
9,0,11
9,0,12
9,0,13
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,0,0
9,1,1
9,2,2
9,3,3
9,4,4
9,5,5
9,6,6
9,7,7
9,8,8
9,9,9
9,10,10
9,11,11
9,12,12
9,13,13
10,0,1
10,0,2
10,0,3
10,0,4
10,0,5
10,0,6
10,0,7
10,0,8
10,0,9
10,0,10
10,0,11
10,0,12
10,0,13
10,0,14
10,0,15
10,0,16
10,1,0
10,1,2
10,1,16
10,2,0
10,2,1
10,2,3
10,3,0
10,3,2
10,3,4
10,4,0
10,4,3
10,4,5
10,5,0
10,5,4
10,5,6
10,6,0
10,6,5
10,6,7
10,7,0
10,7,6
10,7,8
10,8,0
10,8,7
10,8,9
10,9,0
10,9,8
10,9,10
10,10,0
10,10,9
10,10,11
10,11,0
10,11,10
10,11,12
10,12,0
10,12,11
10,12,13
10,13,0
10,13,12
10,13,14
10,14,0
10,14,13
10,14,15
10,15,0
10,15,14
10,15,16
10,16,0
10,16,1
10,16,15
10,0,0
10,1,1
10,2,2
10,3,3
10,4,4
10,5,5
10,6,6
10,7,7
10,8,8
10,9,9
10,10,10
10,11,11
10,12,12
10,13,13
10,14,14
10,15,15
10,16,16
11,0,1
11,0,2
11,0,3
11,0,4
11,0,5
11,0,6
11,0,7
11,0,8
11,0,9
11,0,10
11,0,11
11,0,12
11,0,13
11,0,14
11,0,15
11,1,0
11,1,2
11,1,15
11,2,0
11,2,1
11,2,3
11,3,0
11,3,2
11,3,4
11,4,0
11,4,3
11,4,5
11,5,0
11,5,4
11,5,6
11,6,0
11,6,5
11,6,7
11,7,0
11,7,6
11,7,8
11,8,0
11,8,7
11,8,9
11,9,0
11,9,8
11,9,10
11,10,0
11,10,9
11,10,11
11,11,0
11,11,10
11,11,12
11,12,0
11,12,11
11,12,13
11,13,0
11,13,12
11,13,14
11,14,0
11,14,13
11,14,15
11,15,0
11,15,1
11,15,14
11,0,0
11,1,1
11,2,2
11,3,3
11,4,4
11,5,5
11,6,6
11,7,7
11,8,8
11,9,9
11,10,10
11,11,11
11,12,12
11,13,13
11,14,14
11,15,15
12,0,1
12,0,2
12,0,3
12,0,4
12,0,5
12,0,6
12,0,7
12,0,8
12,0,9
12,0,10
12,0,11
12,0,12
12,0,13
12,0,14
12,0,15
12,0,16
12,0,17
12,1,0
12,1,2
12,1,17
12,2,0
12,2,1
12,2,3
12,3,0
12,3,2
12,3,4
12,4,0
12,4,3
12,4,5
12,5,0
12,5,4
12,5,6
12,6,0
12,6,5
12,6,7
12,7,0
12,7,6
12,7,8
12,8,0
12,8,7
12,8,9
12,9,0
12,9,8
12,9,10
12,10,0
12,10,9
12,10,11
12,11,0
12,11,10
12,11,12
12,12,0
12,12,11
12,12,13
12,13,0
12,13,12
12,13,14
12,14,0
12,14,13
12,14,15
12,15,0
12,15,14
12,15,16
12,16,0
12,16,15
12,16,17
12,17,0
12,17,1
12,17,16
12,0,0
12,1,1
12,2,2
12,3,3
12,4,4
12,5,5
12,6,6
12,7,7
12,8,8
12,9,9
12,10,10
12,11,11
12,12,12
12,13,13
12,14,14
12,15,15
12,16,16
12,17,17
13,0,1
13,0,2
13,0,3
13,0,4
13,0,5
13,0,6
13,0,7
13,0,8
13,0,9
13,0,10
13,0,11
13,0,12
13,0,13
13,0,14
13,0,15
13,0,16
13,0,17
13,1,0
13,1,2
13,1,17
13,2,0
13,2,1
13,2,3
13,3,0
13,3,2
13,3,4
13,4,0
13,4,3
13,4,5
13,5,0
13,5,4
13,5,6
13,6,0
13,6,5
13,6,7
13,7,0
13,7,6
13,7,8
13,8,0
13,8,7
13,8,9
13,9,0
13,9,8
13,9,10
13,10,0
13,10,9
13,10,11
13,11,0
13,11,10
13,11,12
13,12,0
13,12,11
13,12,13
13,13,0
13,13,12
13,13,14
13,14,0
13,14,13
13,14,15
13,15,0
13,15,14
13,15,16
13,16,0
13,16,15
13,16,17
13,17,0
13,17,1
13,17,16
13,0,0
13,1,1
13,2,2
13,3,3
13,4,4
13,5,5
13,6,6
13,7,7
13,8,8
13,9,9
13,10,10
13,11,11
13,12,12
13,13,13
13,14,14
13,15,15
13,16,16
13,17,17
14,0,1
14,0,2
14,0,3
14,0,4
14,0,5
14,0,6
14,0,7
14,0,8
14,0,9
14,0,10
14,1,0
14,1,2
14,1,10
14,2,0
14,2,1
14,2,3
14,3,0
14,3,2
14,3,4
14,4,0
14,4,3
14,4,5
14,5,0
14,5,4
14,5,6
14,6,0
14,6,5
14,6,7
14,7,0
14,7,6
14,7,8
14,8,0
14,8,7
14,8,9
14,9,0
14,9,8
14,9,10
14,10,0
14,10,1
14,10,9
14,0,0
14,1,1
14,2,2
14,3,3
14,4,4
14,5,5
14,6,6
14,7,7
14,8,8
14,9,9
14,10,10
15,0,1
15,0,2
15,0,3
15,0,4
15,0,5
15,0,6
15,0,7
15,0,8
15,0,9
15,0,10
15,0,11
15,0,12
15,0,13
15,1,0
15,1,2
15,1,3
15,1,4
15,1,5
15,1,6
15,1,7
15,1,8
15,1,9
15,1,10
15,1,11
15,1,12
15,1,13
15,2,0
15,2,1
15,2,3
15,2,4
15,2,5
15,2,6
15,2,7
15,2,8
15,2,9
15,2,10
15,2,11
15,2,12
15,2,13
15,3,0
15,3,1
15,3,2
15,3,4
15,3,5
15,3,6
15,3,7
15,3,8
15,3,9
15,3,10
15,3,11
15,3,12
15,3,13
15,4,0
15,4,1
15,4,2
15,4,3
15,4,5
15,4,6
15,4,7
15,4,8
15,4,9
15,4,10
15,4,11
15,4,12
15,4,13
15,5,0
15,5,1
15,5,2
15,5,3
15,5,4
15,5,6
15,5,7
15,5,8
15,5,9
15,5,10
15,5,11
15,5,12
15,5,13
15,6,0
15,6,1
15,6,2
15,6,3
15,6,4
15,6,5
15,6,7
15,6,8
15,6,9
15,6,10
15,6,11
15,6,12
15,6,13
15,7,0
15,7,1
15,7,2
15,7,3
15,7,4
15,7,5
15,7,6
15,7,8
15,7,9
15,7,10
15,7,11
15,7,12
15,7,13
15,8,0
15,8,1
15,8,2
15,8,3
15,8,4
15,8,5
15,8,6
15,8,7
15,8,9
15,8,10
15,8,11
15,8,12
15,8,13
15,9,0
15,9,1
15,9,2
15,9,3
15,9,4
15,9,5
15,9,6
15,9,7
15,9,8
15,9,10
15,9,11
15,9,12
15,9,13
15,10,0
15,10,1
15,10,2
15,10,3
15,10,4
15,10,5
15,10,6
15,10,7
15,10,8
15,10,9
15,10,11
15,10,12
15,10,13
15,11,0
15,11,1
15,11,2
15,11,3
15,11,4
15,11,5
15,11,6
15,11,7
15,11,8
15,11,9
15,11,10
15,11,12
15,11,13
15,12,0
15,12,1
15,12,2
15,12,3
15,12,4
15,12,5
15,12,6
15,12,7
15,12,8
15,12,9
15,12,10
15,12,11
15,12,13
15,13,0
15,13,1
15,13,2
15,13,3
15,13,4
15,13,5
15,13,6
15,13,7
15,13,8
15,13,9
15,13,10
15,13,11
15,13,12
15,13,14
15,14,13
15,14,15
15,15,14
15,0,0
15,1,1
15,2,2
15,3,3
15,4,4
15,5,5
15,6,6
15,7,7
15,8,8
15,9,9
15,10,10
15,11,11
15,12,12
15,13,13
15,14,14
15,15,15
16,0,1
16,0,2
16,0,3
16,0,4
16,0,5
16,0,6
16,0,7
16,1,0
16,1,2
16,1,3
16,1,4
16,1,5
16,1,6
16,1,7
16,2,0
16,2,1
16,2,3
16,2,4
16,2,5
16,2,6
16,2,7
16,3,0
16,3,1
16,3,2
16,3,4
16,3,5
16,3,6
16,3,7
16,4,0
16,4,1
16,4,2
16,4,3
16,4,5
16,4,6
16,4,7
16,5,0
16,5,1
16,5,2
16,5,3
16,5,4
16,5,6
16,5,7
16,6,0
16,6,1
16,6,2
16,6,3
16,6,4
16,6,5
16,6,7
16,7,0
16,7,1
16,7,2
16,7,3
16,7,4
16,7,5
16,7,6
16,7,8
16,8,7
16,8,9
16,9,8
16,9,10
16,10,9
16,0,0
16,1,1
16,2,2
16,3,3
16,4,4
16,5,5
16,6,6
16,7,7
16,8,8
16,9,9
16,10,10
17,0,1
17,0,2
17,0,3
17,0,4
17,0,5
17,0,6
17,0,7
17,0,8
17,0,9
17,0,10
17,0,11
17,1,0
17,1,2
17,1,3
17,1,4
17,1,5
17,1,6
17,1,7
17,1,8
17,1,9
17,1,10
17,1,11
17,2,0
17,2,1
17,2,3
17,2,4
17,2,5
17,2,6
17,2,7
17,2,8
17,2,9
17,2,10
17,2,11
17,3,0
17,3,1
17,3,2
17,3,4
17,3,5
17,3,6
17,3,7
17,3,8
17,3,9
17,3,10
17,3,11
17,4,0
17,4,1
17,4,2
17,4,3
17,4,5
17,4,6
17,4,7
17,4,8
17,4,9
17,4,10
17,4,11
17,5,0
17,5,1
17,5,2
17,5,3
17,5,4
17,5,6
17,5,7
17,5,8
17,5,9
17,5,10
17,5,11
17,6,0
17,6,1
17,6,2
17,6,3
17,6,4
17,6,5
17,6,7
17,6,8
17,6,9
17,6,10
17,6,11
17,7,0
17,7,1
17,7,2
17,7,3
17,7,4
17,7,5
17,7,6
17,7,8
17,7,9
17,7,10
17,7,11
17,8,0
17,8,1
17,8,2
17,8,3
17,8,4
17,8,5
17,8,6
17,8,7
17,8,9
17,8,10
17,8,11
17,9,0
17,9,1
17,9,2
17,9,3
17,9,4
17,9,5
17,9,6
17,9,7
17,9,8
17,9,10
17,9,11
17,10,0
17,10,1
17,10,2
17,10,3
17,10,4
17,10,5
17,10,6
17,10,7
17,10,8
17,10,9
17,10,11
17,11,0
17,11,1
17,11,2
17,11,3
17,11,4
17,11,5
17,11,6
17,11,7
17,11,8
17,11,9
17,11,10
17,11,12
17,12,11
17,12,13
17,13,12
17,13,14
17,14,13
17,14,15
17,15,14
17,15,16
17,16,15
17,16,17
17,17,16
17,17,18
17,18,17
17,0,0
17,1,1
17,2,2
17,3,3
17,4,4
17,5,5
17,6,6
17,7,7
17,8,8
17,9,9
17,10,10
17,11,11
17,12,12
17,13,13
17,14,14
17,15,15
17,16,16
17,17,17
17,18,18
18,0,1
18,0,2
18,0,3
18,0,4
18,0,5
18,0,6
18,0,7
18,0,8
18,0,9
18,0,10
18,0,11
18,0,12
18,0,13
18,0,14
18,1,0
18,1,2
18,1,3
18,1,4
18,1,5
18,1,6
18,1,7
18,1,8
18,1,9
18,1,10
18,1,11
18,1,12
18,1,13
18,1,14
18,2,0
18,2,1
18,2,3
18,2,4
18,2,5
18,2,6
18,2,7
18,2,8
18,2,9
18,2,10
18,2,11
18,2,12
18,2,13
18,2,14
18,3,0
18,3,1
18,3,2
18,3,4
18,3,5
18,3,6
18,3,7
18,3,8
18,3,9
18,3,10
18,3,11
18,3,12
18,3,13
18,3,14
18,4,0
18,4,1
18,4,2
18,4,3
18,4,5
18,4,6
18,4,7
18,4,8
18,4,9
18,4,10
18,4,11
18,4,12
18,4,13
18,4,14
18,5,0
18,5,1
18,5,2
18,5,3
18,5,4
18,5,6
18,5,7
18,5,8
18,5,9
18,5,10
18,5,11
18,5,12
18,5,13
18,5,14
18,6,0
18,6,1
18,6,2
18,6,3
18,6,4
18,6,5
18,6,7
18,6,8
18,6,9
18,6,10
18,6,11
18,6,12
18,6,13
18,6,14
18,7,0
18,7,1
18,7,2
18,7,3
18,7,4
18,7,5
18,7,6
18,7,8
18,7,9
18,7,10
18,7,11
18,7,12
18,7,13
18,7,14
18,8,0
18,8,1
18,8,2
18,8,3
18,8,4
18,8,5
18,8,6
18,8,7
18,8,9
18,8,10
18,8,11
18,8,12
18,8,13
18,8,14
18,9,0
18,9,1
18,9,2
18,9,3
18,9,4
18,9,5
18,9,6
18,9,7
18,9,8
18,9,10
18,9,11
18,9,12
18,9,13
18,9,14
18,10,0
18,10,1
18,10,2
18,10,3
18,10,4
18,10,5
18,10,6
18,10,7
18,10,8
18,10,9
18,10,11
18,10,12
18,10,13
18,10,14
18,11,0
18,11,1
18,11,2
18,11,3
18,11,4
18,11,5
18,11,6
18,11,7
18,11,8
18,11,9
18,11,10
18,11,12
18,11,13
18,11,14
18,12,0
18,12,1
18,12,2
18,12,3
18,12,4
18,12,5
18,12,6
18,12,7
18,12,8
18,12,9
18,12,10
18,12,11
18,12,13
18,12,14
18,13,0
18,13,1
18,13,2
18,13,3
18,13,4
18,13,5
18,13,6
18,13,7
18,13,8
18,13,9
18,13,10
18,13,11
18,13,12
18,13,14
18,14,0
18,14,1
18,14,2
18,14,3
18,14,4
18,14,5
18,14,6
18,14,7
18,14,8
18,14,9
18,14,10
18,14,11
18,14,12
18,14,13
18,14,15
18,15,14
18,15,16
18,16,15
18,16,17
18,17,16
18,0,0
18,1,1
18,2,2
18,3,3
18,4,4
18,5,5
18,6,6
18,7,7
18,8,8
18,9,9
18,10,10
18,11,11
18,12,12
18,13,13
18,14,14
18,15,15
18,16,16
18,17,17
19,0,1
19,0,2
19,0,3
19,0,4
19,0,5
19,0,6
19,0,7
19,0,8
19,1,0
19,1,2
19,1,3
19,1,4
19,1,5
19,1,6
19,1,7
19,1,8
19,2,0
19,2,1
19,2,3
19,2,4
19,2,5
19,2,6
19,2,7
19,2,8
19,3,0
19,3,1
19,3,2
19,3,4
19,3,5
19,3,6
19,3,7
19,3,8
19,4,0
19,4,1
19,4,2
19,4,3
19,4,5
19,4,6
19,4,7
19,4,8
19,5,0
19,5,1
19,5,2
19,5,3
19,5,4
19,5,6
19,5,7
19,5,8
19,6,0
19,6,1
19,6,2
19,6,3
19,6,4
19,6,5
19,6,7
19,6,8
19,7,0
19,7,1
19,7,2
19,7,3
19,7,4
19,7,5
19,7,6
19,7,8
19,8,0
19,8,1
19,8,2
19,8,3
19,8,4
19,8,5
19,8,6
19,8,7
19,8,9
19,9,8
19,9,10
19,10,9
19,10,11
19,11,10
19,11,12
19,12,11
19,12,13
19,13,12
19,0,0
19,1,1
19,2,2
19,3,3
19,4,4
19,5,5
19,6,6
19,7,7
19,8,8
19,9,9
19,10,10
19,11,11
19,12,12
19,13,13
20,0,4
20,0,2
20,0,1
20,1,0
20,1,5
20,1,3
20,2,0
20,2,6
20,2,3
20,3,1
20,3,2
20,3,7
20,4,0
20,4,6
20,4,5
20,5,1
20,5,4
20,5,7
20,6,2
20,6,4
20,6,7
20,7,3
20,7,5
20,7,6
20,0,0
20,1,1
20,2,2
20,3,3
20,4,4
20,5,5
20,6,6
20,7,7
21,0,4
21,0,2
21,0,1
21,1,0
21,1,5
21,1,3
21,2,0
21,2,6
21,2,3
21,3,1
21,3,2
21,3,7
21,4,0
21,4,6
21,4,5
21,5,1
21,5,4
21,5,7
21,6,2
21,6,4
21,6,7
21,7,3
21,7,5
21,7,6
21,0,0
21,1,1
21,2,2
21,3,3
21,4,4
21,5,5
21,6,6
21,7,7
22,0,4
22,0,2
22,0,1
22,1,0
22,1,5
22,1,3
22,2,0
22,2,6
22,2,3
22,3,1
22,3,2
22,3,7
22,4,0
22,4,6
22,4,5
22,5,1
22,5,4
22,5,7
22,6,2
22,6,4
22,6,7
22,7,3
22,7,5
22,7,6
22,0,0
22,1,1
22,2,2
22,3,3
22,4,4
22,5,5
22,6,6
22,7,7
23,0,4
23,0,2
23,0,1
23,1,0
23,1,5
23,1,3
23,2,0
23,2,6
23,2,3
23,3,1
23,3,2
23,3,7
23,4,0
23,4,6
23,4,5
