,Name
0,aabid
1,aabida
2,aachal
3,aadesh
4,aadil
5,aadish
6,aaditya
7,aaenab
8,aafreen
9,aafrin
10,aaftaab
11,aaftab
12,aagand
13,aahim
14,aajad
15,aajiv
16,aakanksha
17,aakar
18,aakas
19,aakash
20,aakib
21,aalam
22,aalina
23,aaliya
24,aamil
25,aamin
26,aamina
27,aamir
28,aamod
29,aamosh
30,aamrin
31,aanad
32,aanamika
33,aanand
34,aanchal
35,aanik
36,aanil
37,aansi
38,aansu
39,aanya
40,aaradhana
41,aarati
42,aarav
43,aardhna
44,aarif
45,aarifa
46,aarifun
47,aarju
48,aarti
49,aarushi
50,aas
51,aasa
52,aash
53,aasha
54,aashi
55,aashia
56,aashif
57,aashik
58,aashis
59,aashish
60,aashiya
61,aashma
62,aashu
63,aasif
64,aasim
65,aasish
66,aasma
67,aasmin
68,aastha
69,aasto
70,aasu
71,aatam
72,aatif
73,aatikun
74,aatir
75,aavesh
76,aayana
77,aayesha
78,aaysha
79,aayush
80,aazad
81,aazadi
82,abash
83,abbal
84,abbas
85,abdul
86,abdulla
87,abdullah
88,abha
89,abhaki
90,abhash
91,abhay
92,abhaysingh
93,abhi
94,abhijeet
95,abhijit
96,abhilash
97,abhilasha
98,abhimanu
99,abhimanyu
100,abhinandan
101,abhinash
102,abhinav
103,abhinay
104,abhinwav
105,abhiraj
106,abhisek
107,abhisekh
108,abhishak
109,abhishek
110,abhishekh
111,abhishiek
112,abhishik
113,abid
114,abida
115,abishak
116,abishek
117,abrar
118,abu
119,abul
120,achin
121,adalat
122,adan
123,adarsh
124,adersen
125,adesh
126,adhish
127,adi
128,adiba
129,adil
130,adisan
131,aditi
132,aditiya
133,aditya
134,adityalok
135,adnan
136,adrash
137,aejaz
138,aesha
139,afarin
140,affan
141,afjal
142,afridi
143,afrin
144,afrina
145,afroz
146,afsana
147,afsar
148,afsari
149,afsha
150,afshana
151,afshar
152,aftab
153,afzaj
154,afzal
155,agrej
156,agyapad
157,ahamad
158,ahmad
159,ahmed
160,ahsamin
161,ahsan
162,ahupendra
163,aidtya
164,aijay
165,aisha
166,aishe
167,aishwarya
168,ajab
169,ajad
170,ajahar
171,ajaj
172,ajara
173,ajay
174,ajaypal
175,ajeem
176,ajeet
177,ajim
178,ajima
179,ajit
180,ajju
181,ajkati
182,ajmal
183,ajman
184,ajmer
185,ajmeri
186,ajmit
187,ajnabi
188,ajnoor
189,ajra
190,akaash
191,akansh
192,akansha
193,akash
194,akashya
195,akbar
196,akbari
197,akeel
198,akhalak
199,akhatari
200,akheelesh
201,akhil
202,akhilesh
203,akhileshwer
204,akhlaq
205,akhlesh
206,akhlish
207,akhtar
208,akhtari
209,akib
210,akif
211,akil
212,akilesh
213,akkash
214,akkni
215,akram
216,akshat
217,akshay
218,akshit
219,akshita
220,akshpaat
221,akthari
222,aktri
223,al0k
224,alahbasri
225,alam
226,alapna
227,alaudin
228,albaksha
229,albina
230,aleesha
231,alema
232,alhamdi
233,ali
234,alijan
235,alim
236,alima
237,alina
238,alis
239,alish
240,alisha
241,alita
242,aliya
243,alka
244,alkesh
245,allabaksh
246,allaraji
247,allauddin
248,alma
249,almina
250,alok
251,alseepa
252,altab
253,altaf
254,altmash
255,aluddin
256,aman
257,amana
258,amandeep
259,amanjeet
260,amar
261,amarapal
262,amarchand
263,amardeep
264,amarendra
265,amarin
266,amarjeet
267,amarjit
268,amarmula
269,amarnath
270,amart
271,amarvesh
272,amasi
273,amba
274,amber
275,ambika
276,ambiya
277,ameen
278,ameer
279,ameera
280,amena
281,amida
282,amie
283,amijan
284,amil
285,amin
286,amina
287,amir
288,amiraka
289,amiri
290,amirul
291,amisha
292,amit
293,"amit,"
294,amita
295,amjad
296,amjat
297,amkit
298,amlesh
299,ammar
300,amna
301,amol
302,amot
303,amrat
304,amratalal
305,amreek
306,amreen
307,amreeta
308,amri
309,amrik
310,amrika
311,amrin
312,amrish
313,amrit
314,amrita
315,amritha
316,amritpal
317,amrjeet
318,amrooti
319,amrta
320,amrudin
321,amuchla
322,amuda
323,amzad
324,anadi
325,anaji
326,anam
327,anamika
328,anamol
329,anand
330,anandi
331,anandu
332,anandwati
333,anantram
334,anara
335,anarkali
336,anaro
337,anash
338,anayatha
339,anchal
340,andhav
341,aneeta
342,anekha
343,angad
344,angan
345,angda
346,angreg
347,anguri
348,anikesh
349,aniket
350,anikt
351,anil
352,animesh
353,anirudh
354,anish
355,anisha
356,anita
357,anja
358,anjal
359,anjali
360,anjaly
361,anjan
362,anjana
363,anjani
364,anjara
365,anjeev
366,anjila
367,anjli
368,anjna
369,anjrej
370,anju
371,anjum
372,anjuman
373,ankaj
374,ankala
375,ankeet
376,ankesh
377,ankit
378,ankita
379,ankur
380,ankus
381,ankush
382,anli
383,anmol
384,annat
385,annavi
386,annielal
387,anno
388,annu
389,anoj
390,anokha
391,anooj
392,anoop
393,anoopama
394,anoura
395,ansal
396,ansar
397,ansh
398,anshika
399,anshiya
400,anshu
401,anshul
402,anshum
403,anshuman
404,ansu
405,ansul
406,anta
407,antim
408,antima
409,anu
410,anubhav
411,anuj
412,anuja
413,anup
414,anupam
415,anupama
416,anupuma
417,anuradha
418,anurag
419,anuraj
420,anurudh
421,anushka
422,anuska
423,anusoya
424,anuu
425,anwar
426,anwari
427,any
428,anzum
429,aoosaf
430,aparna
431,aphasana
432,aphsana
433,apsana
434,arab
435,araddhna
436,aradhana
437,arajun
438,araslan
439,arati
440,aravind
441,arbaj
442,arbana
443,arbaz
444,archan
445,archana
446,archita
447,archna
448,areen
449,arham
450,arhiyant
451,ariba
452,arif
453,arifa
454,arindom
455,arindra
456,arjina
457,arjun
458,armaan
459,arman
460,armita
461,arnab
462,arnabjit
463,arpit
464,arpna
465,arsad
466,arsh
467,arshad
468,arshi
469,arshla
470,arsi
471,arthi
472,arti
473,aru
474,arun
475,aruna
476,aruni
477,arunkumar
478,arvind
479,arvinder
480,aryan
481,arzoo
482,asagar
483,asana
484,asanti
485,asarfi
486,asfak
487,asfaq
488,asgar
489,asgari
490,asha
491,ashad
492,ashak
493,ashanjali
494,asharam
495,asharani
496,ashfaq
497,ashif
498,ashik
499,ashima
500,ashiqu
501,ashish
502,ashishi
503,ashiya
504,ashlam
505,ashma
506,ashman
507,ashmi
508,ashmin
509,ashnu
510,asho
511,ashok
512,ashra
513,ashrabi
514,ashraf
515,ashrfi
516,ashshwer
517,ashsish
518,ashtha
519,ashu
520,ashutosh
521,ashwani
522,ashwini
523,asi
524,asif
525,asish
526,asiwani
527,asiya
528,aslam
529,asma
530,asman
531,asmat
532,asmin
533,asmina
534,asmit
535,asmita
536,asrani
537,asrf
538,asruddin
539,astha
540,asutosh
541,aswani
542,aswin
543,atanu
544,ateek
545,atif
546,atiq
547,atish
548,atitaj
549,atta
550,attar
551,atu
552,atul
553,avadh
554,avantika
555,avastha
556,avdesh
557,avdhesh
558,avfesh
559,avi
560,avid
561,avinas
562,avinash
563,avinsh
564,avneet
565,avnish
566,avnit
567,avtar
568,awdesh
569,awdhesh
570,awedhesh
571,awshin
572,axat
573,ayan
574,ayasha
575,aysha
576,ayub
577,ayube
578,ayush
579,ayushi
580,azad
581,azam
582,azaruddin
583,azaz
584,azhar
585,azim
586,azmira
587,azruddin
588,baam
589,babali
590,babalu
591,baban
592,babar
593,babbi
594,babbu
595,babby
596,babita
597,babli
598,babloo
599,bablu
600,babram
601,babu
602,babudden
603,babuddin
604,babul
605,babulal
606,babupuri
607,baburam
608,baby
609,baccha
610,bacche
611,bacchu
612,bachan
613,bachcha
614,bachheshwar
615,bachhu
616,bachu
617,bada
618,badal
619,badami
620,badan
621,badarjahan
622,badnath
623,badrealam
624,badri
625,badru
626,badrudeen
627,badrulla
628,badrunisha
629,badshya
630,baga
631,bagaram
632,bagdai
633,bagga
634,baggusingh
635,bagwan
636,bahadur
637,bahalen
638,bahart
639,bahnu
640,bahrat
641,bahwana
642,baichan
643,baidnath
644,baijnath
645,baita
646,bajinder
647,bajrang
648,bajrangi
649,bajulal
650,bake
651,bakhtvaar
652,bakila
653,baksi
654,bal
655,bala
656,balak
657,balalia
658,balam
659,balaram
660,balbeer
661,balbir
662,balbiri
663,balchand
664,baldev
665,baleshwar
666,baleshwer
667,bali
668,baliram
669,baliya
670,baljeet
671,baljinder
672,balkishan
673,ballu
674,balmiki
675,balraj
676,balram
677,balveer
678,balvinder
679,balwan
680,balwant
681,banarsi
682,bandana
683,bandani
684,bandu
685,bangali
686,banita
687,baniya
688,banju
689,bannu
690,banshi
691,bansi
692,bansilal
693,banti
694,bantu
695,banty
696,banu
697,banwari
698,banwarilal
699,bapu
700,barakha
701,barham
702,barj
703,barjesh
704,barjraj
705,barkat
706,barkha
707,barti
708,basant
709,basanta
710,basanti
711,bashanti
712,bashudev
713,basibul
714,basiran
715,basnti
716,batasi
717,batloon
718,bato
719,batu
720,batul
721,baudi
722,bavita
723,bawan
724,beauty
725,bebi
726,beby
727,bechan
728,beekar
729,beena
730,beenu
731,beera
732,beeram
733,beeru
734,beeti
735,beeuty
736,begam
737,begraj
738,begum
739,begumpur
740,belo
741,benay
742,beni
743,benjir
744,benu
745,beragi
746,beti
747,bhabhav
748,bhabhiya
749,bhaddal
750,bhadur
751,bhag
752,bhagat
753,bhagay
754,bhagchand
755,bhaggo
756,bhagipuri
757,bhagirath
758,bhagirathi
759,bhagvaan
760,bhagvati
761,bhagwan
762,bhagwana
763,bhagwanaram
764,bhagwanti
765,bhagwat
766,bhagwati
767,bhagya
768,bhahadur
769,bhajan
770,bhajandeep
771,bhajanlal
772,bhajju
773,bhakuni
774,bhala
775,bhalaram
776,bhan
777,bhani
778,bhanmati
779,bhanu
780,bhanumati
781,bhanupriya
782,bhanvar
783,bhanwar
784,bhanwari
785,bhanwer
786,bhanweri
787,bharat
788,bharati
789,bharatlal
790,bharkah
791,bharkha
792,bharma
793,bhart
794,bhartendu
795,bharti
796,bhasker
797,bhatari
798,bhateri
799,bhatri
800,bhauk
801,bhavana
802,bhavesh
803,bhavisaya
804,bhavishy
805,bhavishya
806,bhavna
807,bhavuk
808,bhawan
809,bhawana
810,bhawani
811,bhawar
812,bhawari
813,bhawna
814,bheem
815,bheema
816,bhemji
817,bherav
818,bhhatu
819,bhikhari
820,bhiki
821,bhim
822,bhima
823,bhimsen
824,bhisan
825,bhismpal
826,bhiva
827,bhojaram
828,bhojpal
829,bhola
830,bholaram
831,bhole
832,bholi
833,bholu
834,bhonu
835,bhoop
836,bhoopsingh
837,bhoori
838,bhopal
839,bhorelal
840,bhotra
841,bhram
842,bhramanand
843,bhrat
844,bhrkat
845,bhteri
846,bhud
847,bhudev
848,bhudevi
849,bhudhashen
850,bhudhi
851,bhulaee
852,bhulan
853,bhuli
854,bhumika
855,bhundki
856,bhuneshwar
857,bhup
858,bhupen
859,bhupendar
860,bhupender
861,bhupendra
862,bhupesh
863,bhura
864,bhuralal
865,bhure
866,bhuri
867,bhusan
868,bhushan
869,bhuvneshwar
870,bhuwan
871,bidami
872,bidhya
873,bidur
874,bigan
875,biitu
876,bijali
877,bijander
878,bijender
879,bijendra
880,bikki
881,bikram
882,bilal
883,bilke
884,bilkis
885,bima
886,bimla
887,bimlesh
888,bina
889,binani
890,binda
891,binder
892,bindi
893,bindiya
894,bindu
895,bindvasini
896,binita
897,binja
898,binnu
899,binpal
900,bintu
901,binu
902,bipin
903,bipnesh
904,bir
905,biraj
906,birajbhushan
907,birajpal
908,biram
909,biran
910,birbal
911,birender
912,birgesh
913,birij
914,birjesh
915,birju
916,birma
917,birmadevi
918,birmati
919,bironica
920,birpal
921,birtha
922,biru
923,bishan
924,bishana
925,bishesh
926,bishnu
927,bishun
928,bismilla
929,bisto
930,bitoo
931,bittan
932,bitto
933,bittoo
934,bittu
935,bivla
936,biwa
937,bobbi
938,bobby
939,bobi
940,boby
941,bodh
942,bodu
943,boduram
944,bohati
945,braham
946,brahamprakash
947,brahmanand
948,braj
949,brajendra
950,bram
951,brij
952,brijesh
953,brijlal
954,brijmohan
955,brijnandan
956,brijpal
957,brijshwaer
958,brinda
959,brkha
960,bsram
961,buchhi
962,buddha
963,buddhi
964,budh
965,budhan
966,budhi
967,budho
968,budhram
969,budhu
970,budhwanti
971,buhan
972,buity
973,bulad
974,bulbul
975,bulet
976,bunda
977,bundel
978,bundhu
979,bunti
980,bunty
981,bupal
982,bushara
983,bushra
984,busness
985,busra
986,captain
987,chabi
988,chahat
989,chain
990,chajju
991,chakra
992,chama
993,chaman
994,chamanlal
995,chameli
996,champa
997,chanab
998,chanchal
999,chanchl
1000,chand
1001,chanda
1002,chandabai
1003,chandan
1004,chandani
1005,chandar
1006,chanden
1007,chander
1008,chanderbal
1009,chanderkala
1010,chanderkali
1011,chanderkanta
1012,chandermani
1013,chanderpal
1014,chanderwati
1015,chandesh
1016,chandeshwar
1017,chandi
1018,chandini
1019,chandki
1020,chandkor
1021,chandni
1022,chando
1023,chandpreet
1024,chandra
1025,chandracala
1026,chandrakala
1027,chandrashekhar
1028,chandrawati
1029,chandreshwar
1030,chandrika
1031,chandrram
1032,chandru
1033,chandu
1034,chango
1035,channu
1036,chanpa
1037,chappla
1038,charan
1039,charanjeet
1040,charnjeet
1041,charu
1042,chatan
1043,chatar
1044,chaterpal
1045,chatter
1046,chaturbhuj
1047,chaya
1048,cheddi
1049,cheete
1050,chela
1051,chertamani
1052,chet
1053,chetan
1054,chetana
1055,chetanram
1056,chetanya
1057,chetna
1058,chetram
1059,chettan
1060,chhabeel
1061,chhabi
1062,chhabil
1063,chhagan
1064,chhagana
1065,chhamo
1066,chhano
1067,chhanoyar
1068,chhantu
1069,chhanya
1070,chhatar
1071,chhaterwati
1072,chhavi
1073,chhaya
1074,chhedilal
1075,chhidu
1076,chhinderpal
1077,chhitar
1078,chhotelal
1079,chhoti
1080,chhotu
1081,chhotudevi
1082,chiddu
1083,chinki
1084,chinku
1085,chinta
1086,chintan
1087,chintu
1088,chinu
1089,chirag
1090,chiranjavi
1091,chitprit
1092,chitra
1093,chitrangan
1094,chitranjan
1095,chitro
1096,chitu
1097,chnada
1098,chnda
1099,chndrakla
1100,choga
1101,chom
1102,chootu
1103,chorag
1104,chosh
1105,chotan
1106,chote
1107,chotelal
1108,choti
1109,chotibai
1110,chotti
1111,chottu
1112,chotu
1113,chotum
1114,choturam
1115,chran
1116,chtar
1117,chtarpal
1118,chumki
1119,chunaram
1120,chuni
1121,chunni
1122,chunnu
1123,chura
1124,constable
1125,cosmic
1126,daaud
1127,dabbu
1128,dabu
1129,dakch
1130,daks
1131,daksh
1132,dakshina
1133,dakshya
1134,dal
1135,dalchand
1136,daler
1137,dali
1138,dalima
1139,dalip
1140,daljeet
1141,daljit
1142,dalpat
1143,dama
1144,daman
1145,damanjeet
1146,damini
1147,damodar
1148,dana
1149,daniel
1150,danish
1151,danista
1152,danveer
1153,danwati
1154,dara
1155,darfasha
1156,dariya
1157,darkash
1158,darshan
1159,darshana
1160,darshna
1161,dasharath
1162,dashrath
1163,data
1164,dataterya
1165,dauad
1166,dauji
1167,daulat
1168,daveena
1169,davender
1170,davendra
1171,davinder
1172,daya
1173,dayal
1174,dayaram
1175,dayawati
1176,deba
1177,deeksha
1178,deelip
1179,deen
1180,deendyal
1181,deep
1182,deepa
1183,deepaak
1184,deepak
1185,deepali
1186,deepan
1187,deepanker
1188,deepanshi
1189,deepanshu
1190,deepansu
1191,deepanti
1192,deepchand
1193,deepender
1194,deepi
1195,deepika
1196,deepka
1197,deepmala
1198,deepnarayan
1199,deepshikha
1200,deepti
1201,deepu
1202,deepvhand
1203,deeraj
1204,deerendra
1205,deewan
1206,deeya
1207,denesh
1208,deni
1209,deou
1210,depali
1211,depander
1212,desh
1213,deshraj
1214,dev
1215,deva
1216,devanand
1217,devanti
1218,devasheeh
1219,devashish
1220,devasish
1221,devdhari
1222,devender
1223,devendr
1224,devendra
1225,devendri
1226,devesh
1227,devi
1228,devid
1229,devideen
1230,devik
1231,devika
1232,devilal
1233,devinder
1234,devkali
1235,devki
1236,devkran
1237,devli
1238,devpal
1239,devraj
1240,devya
1241,devyani
1242,deyji
1243,dhakhadevi
1244,dhalchand
1245,dhamender
1246,dhamini
1247,dhan
1248,dhana
1249,dhananjai
1250,dhananjay
1251,dhaneswar
1252,dhaney
1253,dhani
1254,dhaniya
1255,dhanjay
1256,dhanna
1257,dhanni
1258,dhannu
1259,dhanpat
1260,dhanpati
1261,dhanraj
1262,dhansinghpuri
1263,dhanu
1264,dhanwanti
1265,dhanwati
1266,dhapu
1267,dhara
1268,dharam
1269,dharambir
1270,dharamender
1271,dharampal
1272,dharamveer
1273,dharamvir
1274,dharm
1275,dharma
1276,dharmandra
1277,dharmbir
1278,dharmender
1279,dharmendera
1280,dharmendr
1281,dharmendra
1282,dharminder
1283,dharmpal
1284,dharmraj
1285,dharmshila
1286,dharmveer
1287,dharmvir
1288,dharvesh
1289,dhawal
1290,dheeraj
1291,dheerendra
1292,dhermendra
1293,dhiraj
1294,dhirender
1295,dhirpal
1296,dhiru
1297,dhisa
1298,dhmendar
1299,dhodi
1300,dhola
1301,dholi
1302,dhram
1303,dhrama
1304,dhrambir
1305,dhramender
1306,dhrampal
1307,dhrampla
1308,dhramveer
1309,dhreej
1310,dhrmveer
1311,dhruv
1312,dhukhu
1313,dhulin
1314,dhurav
1315,dhurender
1316,dhurpati
1317,dhuruv
1318,dhurv
1319,dhurve
1320,dibakar
1321,dibya
1322,digamber
1323,digvijay
1324,diksha
1325,dikshant
1326,dil
1327,dila
1328,dilawar
1329,dilbar
1330,dildar
1331,dilip
1332,dilish
1333,diljan
1334,dilkhush
1335,dilkush
1336,dilsad
1337,dilsah
1338,dilshad
1339,dilshadi
1340,dilshana
1341,dilvar
1342,dimpal
1343,dimple
1344,dimpu
1345,dimpy
1346,dineesh
1347,dinesh
1348,dinkar
1349,dipa
1350,dipak
1351,dipali
1352,dipanshi
1353,dipanshu
1354,dipansu
1355,dipeeka
1356,dipendra
1357,dipika
1358,dipti
1359,dipu
1360,dirgaj
1361,disha
1362,dishad
1363,dishant
1364,dishu
1365,disi
1366,diti
1367,divaie
1368,divakar
1369,divansh
1370,divaraj
1371,divy
1372,divya
1373,divyansh
1374,diwakar
1375,diwan
1376,diwansi
1377,dixya
1378,diya
1379,dolat
1380,doli
1381,dolley
1382,dolly
1383,dolo
1384,doly
1385,doodhnath
1386,dord
1387,dorilal
1388,doulat
1389,dowlat
1390,dropati
1391,dropti
1392,druga
1393,dukhi
1394,dulal
1395,dular
1396,dulari
1397,dulichand
1398,dumani
1399,dumnik
1400,dund
1401,duni
1402,dur
1403,duraga
1404,durg
1405,durga
1406,durgabai
1407,durgalal
1408,durganand
1409,durgash
1410,durgashankar
1411,durgawati
1412,durgesh
1413,durgpal
1414,durjan
1415,durvesh
1416,dushyant
1417,dvndavva
1418,dwarika
1419,dwarka
1420,dwrikaprasad
1421,dya
1422,ebane
1423,edris
1424,ekamjeet
1425,ekata
1426,ekram
1427,ekta
1428,eldro
1429,eliyas
1430,elwin
1431,emilia
1432,emran
1433,englas
1434,eshavarya
1435,eshwari
1436,esrail
1437,etahsaam
1438,evan
1439,ezaz
1440,faaija
1441,fahija
1442,fahim
1443,fahira
1444,faijal
1445,faijina
1446,faim
1447,faimuddin
1448,faisal
1449,faiyaaz
1450,faiz
1451,faizal
1452,faizan
1453,faizudeen
1454,faizur
1455,fakerey
1456,fakiha
1457,fakir
1458,fakiri
1459,fakrrudeen
1460,fakrudeen
1461,fanni
1462,faqir
1463,fara
1464,farah
1465,faraha
1466,faraheen
1467,faran
1468,farana
1469,fareem
1470,fareen
1471,fareena
1472,farha
1473,farhaja
1474,farhan
1475,farhana
1476,farhanaaz
1477,farhanaz
1478,farheen
1479,farhib
1480,farhin
1481,farid
1482,farida
1483,farina
1484,farjana
1485,farjand
1486,farjanul
1487,farku
1488,farmaan
1489,farman
1490,farmeena
1491,faroj
1492,farukh
1493,farzana
1494,fasrun
1495,fateh
1496,father
1497,fatima
1498,fatma
1499,fauina
1500,faujdar
1501,fauji
1502,fazaley
1503,fazaz
1504,fazia
1505,fazin
1506,fazulla
1507,feflibai
1508,felicia
1509,feru
1510,fhaishal
1511,fharman
1512,fida
1513,fija
1514,firakat
1515,firasat
1516,firdosh
1517,firdous
1518,firida
1519,firoj
1520,firoja
1521,firoz
1522,firoza
1523,firtu
1524,fitrat
1525,fiyaz
1526,fiza
1527,fool
1528,foola
1529,fooljhnah
1530,foolmaya
1531,foolwati
1532,for
1533,foranta
1534,foranti
1535,fornta
1536,forshan
1537,fozia
1538,fra
1539,frjana
1540,frra
1541,fuli
1542,fuljhadi
1543,fulmiya
1544,fulo
1545,furkan
1546,furkhan
1547,gaffar
1548,gaffur
1549,gafur
1550,gagan
1551,gagandeep
1552,gahnshyam
1553,gaitri
1554,gajala
1555,gajana
1556,gajender
1557,gajendra
1558,gajla
1559,gajraj
1560,gajwanti
1561,gali
1562,galiya
1563,galu
1564,gambhir
1565,gamer
1566,gandharv
1567,gandhi
1568,ganesh
1569,ganeshi
1570,ganesi
1571,ganga
1572,gangadhar
1573,gangajali
1574,gangaram
1575,gango
1576,ganita
1577,ganpat
1578,ganpati
1579,ganpatram
1580,gantantra
1581,gappu
1582,gargi
1583,garib
1584,garima
1585,garsh
1586,garupal
1587,garv
1588,gattu
1589,gaura
1590,gaurav
1591,gauravgil
1592,gauri
1593,gautam
1594,gawali
1595,gawri
1596,gayatri
1597,gaytree
1598,gaytri
1599,geernish
1600,geesa
1601,geet
1602,geeta
1603,geetanjali
1604,geetika
1605,geetu
1606,gen
1607,genda
1608,gendi
1609,gendu
1610,gensingh
1611,ghan
1612,ghanshayam
1613,ghanshyam
1614,ghansyam
1615,ghantoli
1616,ghaseeta
1617,ghasiram
1618,gheesa
1619,ghisaram
1620,ghurul
1621,gila
1622,gilbahar
1623,girdhari
1624,giri
1625,girija
1626,girijarani
1627,giriraj
1628,girish
1629,girishchandra
1630,girishi
1631,girja
1632,girjesh
1633,girraj
1634,girwer
1635,gita
1636,gitika
1637,givinda
1638,gjender
1639,gladwin
1640,gobind
1641,godambari
1642,gokul
1643,goldan
1644,golden
1645,goldi
1646,goldy
1647,gollu
1648,golu
1649,gomati
1650,gomti
1651,gona
1652,gonsan
1653,goopi
1654,gopal
1655,gopesh
1656,gopi
1657,gopiram
1658,gora
1659,gorav
1660,gordhan
1661,gordhanlal
1662,gori
1663,goruav
1664,gorv
1665,gosia
1666,gotam
1667,gotiya
1668,gourav
1669,gouri
1670,goutam
1671,goverdhan
1672,govind
1673,govinda
1674,grace
1675,grish
1676,groti
1677,grpreet
1678,gruchran
1679,guddi
1680,guddibai
1681,guddiya
1682,guddo
1683,guddu
1684,gudia
1685,gudiya
1686,gudya
1687,gufraan
1688,gufran
1689,gugna
1690,gul
1691,gulab
1692,gulabsa
1693,gulabsha
1694,gulafsa
1695,gulafsha
1696,gulafshan
1697,gulam
1698,gulashan
1699,gulbasha
1700,guldasta
1701,gulesta
1702,gulfam
1703,gulfan
